Frame Number,Car ID,Lane (Left/Right),Speed (Km/h),Violation
534,1,Right,tensor(9.1992),Yes
534,2,Right,tensor(8.6759),Yes
535,25,Right,tensor(48.3403),No
535,34,Right,tensor(45.0601),Yes
535,32,Left,tensor(41.6723),Yes
535,2,Right,tensor(9.1605),Yes
535,1,Right,tensor(8.8912),Yes
535,38,Left,tensor(14.8088),Yes
536,25,Right,tensor(46.5105),No
536,34,Right,tensor(43.7074),Yes
536,2,Right,tensor(7.6333),Yes
536,32,Left,tensor(40.9981),No
536,1,Right,tensor(8.5108),Yes
536,38,Left,tensor(15.9537),Yes
537,25,Right,tensor(46.1944),No
537,34,Right,tensor(42.3304),Yes
537,2,Right,tensor(8.2147),Yes
537,32,Left,tensor(42.6457),No
537,1,Right,tensor(5.7834),Yes
537,38,Left,tensor(14.7407),Yes
538,25,Right,tensor(43.7809),No
538,26,Right,tensor(40.1027),Yes
538,2,Right,tensor(5.5334),Yes
538,32,Left,tensor(42.9080),No
538,1,Right,tensor(7.2621),Yes
539,26,Right,tensor(43.2883),No
539,25,Right,tensor(40.8545),Yes
539,32,Left,tensor(44.7485),No
539,2,Right,tensor(7.7421),Yes
539,1,Right,tensor(8.6134),Yes
540,25,Right,tensor(40.2999),No
540,26,Right,tensor(36.4735),Yes
540,32,Left,tensor(44.8132),No
540,1,Right,tensor(8.8886),Yes
540,2,Right,tensor(6.1228),Yes
540,38,Left,tensor(13.0610),Yes
541,22,Right,tensor(40.7876),No
541,26,Right,tensor(37.6716),Yes
541,32,Left,tensor(47.1874),No
541,1,Right,tensor(7.9848),Yes
541,38,Left,tensor(15.4110),Yes
541,2,Right,tensor(4.1613),Yes
541,36,Left,tensor(21.6398),Yes
542,18,Right,tensor(39.5005),No
542,26,Right,tensor(37.6265),Yes
542,32,Left,tensor(48.0747),No
542,1,Right,tensor(8.5203),Yes
542,38,Left,tensor(15.2847),Yes
543,18,Right,tensor(38.1824),No
543,32,Left,tensor(47.2794),No
543,26,Right,tensor(40.7288),Yes
543,1,Right,tensor(7.0617),Yes
543,38,Left,tensor(12.8502),Yes
544,18,Right,tensor(35.0073),No
544,32,Left,tensor(48.6705),No
544,1,Right,tensor(6.6355),Yes
544,26,Right,tensor(38.4388),No
544,38,Left,tensor(17.0511),Yes
545,32,Left,tensor(49.4232),No
545,18,Right,tensor(35.0467),Yes
545,26,Right,tensor(36.3001),Yes
545,1,Right,tensor(7.1576),Yes
545,38,Left,tensor(13.9870),Yes
546,17,Right,tensor(33.0846),No
546,32,Left,tensor(50.8630),No
546,26,Right,tensor(36.7193),Yes
546,1,Right,tensor(8.4165),Yes
546,38,Left,tensor(16.9920),Yes
547,32,Left,tensor(51.4558),No
547,17,Right,tensor(33.4097),Yes
547,26,Right,tensor(33.2556),Yes
547,1,Right,tensor(7.1746),Yes
547,38,Left,tensor(17.1042),Yes
548,26,Right,tensor(35.7068),No
548,17,Right,tensor(30.2408),Yes
548,32,Left,tensor(54.5853),No
548,1,Right,tensor(7.6069),Yes
548,38,Left,tensor(16.2200),Yes
549,15,Right,tensor(33.3114),No
549,32,Left,tensor(53.4251),No
549,17,Right,tensor(29.5363),Yes
549,1,Right,tensor(6.1592),Yes
549,38,Left,tensor(14.9841),Yes
550,15,Right,tensor(32.6936),No
550,17,Right,tensor(28.0223),Yes
550,32,Left,tensor(55.0014),No
550,1,Right,tensor(8.0427),Yes
550,38,Left,tensor(16.6594),Yes
551,15,Right,tensor(29.7639),No
551,32,Left,tensor(55.4662),No
551,17,Right,tensor(29.5282),Yes
551,38,Left,tensor(17.5592),Yes
551,1,Right,tensor(6.6379),Yes
552,15,Right,tensor(31.2742),No
552,32,Left,tensor(58.6983),No
552,17,Right,tensor(26.2879),Yes
552,38,Left,tensor(15.3583),Yes
552,1,Right,tensor(6.2476),Yes
553,15,Right,tensor(30.7025),No
553,32,Left,tensor(58.2747),No
553,17,Right,tensor(26.8417),Yes
553,38,Left,tensor(15.7447),Yes
553,1,Right,tensor(7.4572),Yes
554,15,Right,tensor(27.7495),No
554,32,Left,tensor(60.3351),No
554,17,Right,tensor(24.2665),Yes
554,38,Left,tensor(17.3715),Yes
555,15,Right,tensor(28.6935),No
555,32,Left,tensor(61.6233),No
555,13,Right,tensor(23.7505),Yes
555,38,Left,tensor(17.2092),Yes
556,15,Right,tensor(27.3269),No
556,32,Left,tensor(62.9667),No
556,13,Right,tensor(24.7888),Yes
556,38,Left,tensor(17.2160),Yes
557,15,Right,tensor(25.9312),No
557,30,Left,tensor(62.3771),No
557,5,Right,tensor(23.1616),Yes
557,38,Left,tensor(20.1087),Yes
558,15,Right,tensor(26.9961),No
558,30,Left,tensor(64.3065),No
558,5,Right,tensor(21.5384),Yes
558,38,Left,tensor(19.1978),Yes
559,30,Left,tensor(64.7498),No
559,15,Right,tensor(25.4105),Yes
559,5,Right,tensor(21.7320),Yes
559,38,Left,tensor(17.2510),Yes
560,15,Right,tensor(25.6206),No
560,30,Left,tensor(65.7391),No
560,38,Left,tensor(16.6413),Yes
560,5,Right,tensor(20.6803),Yes
560,36,Left,tensor(25.0923),Yes
561,15,Right,tensor(25.2866),No
561,30,Left,tensor(70.1580),No
561,5,Right,tensor(19.6078),Yes
561,38,Left,tensor(22.3859),Yes
561,36,Left,tensor(23.9488),Yes
562,30,Left,tensor(70.5556),No
562,15,Right,tensor(25.3123),Yes
562,5,Right,tensor(19.7905),Yes
562,38,Left,tensor(17.7614),Yes
562,36,Left,tensor(25.8146),Yes
563,30,Left,tensor(73.9623),No
563,15,Right,tensor(23.9875),Yes
563,5,Right,tensor(18.2848),Yes
563,38,Left,tensor(19.6408),Yes
563,36,Left,tensor(25.7102),Yes
564,30,Left,tensor(79.0517),No
564,15,Right,tensor(25.6421),Yes
564,38,Left,tensor(20.1965),Yes
564,5,Right,tensor(16.2241),Yes
565,15,Right,tensor(23.8649),No
565,30,Left,tensor(78.2733),No
565,38,Left,tensor(19.5820),Yes
565,5,Right,tensor(15.4045),Yes
565,36,Left,tensor(25.9907),Yes
566,23,Left,tensor(81.4572),No
566,15,Right,tensor(23.1711),Yes
566,38,Left,tensor(19.6111),Yes
566,5,Right,tensor(15.6998),Yes
566,36,Left,tensor(29.6108),Yes
567,23,Left,tensor(82.5294),No
567,15,Right,tensor(23.3126),Yes
567,38,Left,tensor(21.2059),Yes
567,5,Right,tensor(15.9599),Yes
567,36,Left,tensor(29.8973),Yes
568,20,Left,tensor(84.4166),No
568,15,Right,tensor(22.0456),Yes
568,38,Left,tensor(20.7569),Yes
568,2,Right,tensor(15.0183),Yes
568,36,Left,tensor(31.4798),Yes
569,20,Left,tensor(90.8110),No
569,15,Right,tensor(22.6641),Yes
569,38,Left,tensor(22.1501),Yes
569,2,Right,tensor(13.3745),Yes
569,36,Left,tensor(33.9663),Yes
570,20,Left,tensor(86.0119),No
570,15,Right,tensor(23.1082),Yes
570,38,Left,tensor(21.1725),Yes
570,2,Right,tensor(12.7692),Yes
570,36,Left,tensor(32.6607),Yes
571,16,Left,tensor(88.2884),No
571,15,Right,tensor(21.1216),Yes
571,38,Left,tensor(23.5527),Yes
571,36,Left,tensor(32.3078),Yes
571,2,Right,tensor(14.1280),Yes
572,16,Left,tensor(102.3856),No
572,15,Right,tensor(20.6189),Yes
572,36,Left,tensor(35.9263),Yes
572,38,Left,tensor(22.3269),Yes
572,2,Right,tensor(11.5864),Yes
573,11,Left,tensor(101.6958),No
573,15,Right,tensor(20.5749),Yes
573,36,Left,tensor(32.9533),Yes
573,38,Left,tensor(23.4299),Yes
573,2,Right,tensor(9.6356),Yes
574,11,Left,tensor(103.1401),No
574,15,Right,tensor(21.0859),Yes
574,36,Left,tensor(33.9621),Yes
574,38,Left,tensor(23.5553),Yes
574,2,Right,tensor(13.3214),Yes
575,4,Left,tensor(109.2588),No
575,15,Right,tensor(20.5888),Yes
575,38,Left,tensor(25.7826),Yes
575,36,Left,tensor(34.9066),Yes
575,2,Right,tensor(8.0164),Yes
576,4,Left,tensor(110.8743),No
576,15,Right,tensor(21.0060),Yes
576,36,Left,tensor(35.0245),Yes
576,38,Left,tensor(24.2853),Yes
576,2,Right,tensor(11.4966),Yes
577,38,Left,tensor(25.5713),No
577,36,Left,tensor(36.2702),No
577,15,Right,tensor(17.8913),Yes
577,2,Right,tensor(9.3313),Yes
578,15,Right,tensor(20.5531),No
578,38,Left,tensor(24.6829),No
578,36,Left,tensor(36.4502),No
578,2,Right,tensor(8.6318),Yes
579,38,Left,tensor(25.9153),No
579,36,Left,tensor(39.2418),No
579,15,Right,tensor(18.0942),Yes
579,2,Right,tensor(9.7810),Yes
580,38,Left,tensor(25.5570),No
580,15,Right,tensor(18.5504),Yes
580,36,Left,tensor(38.7824),No
580,2,Right,tensor(7.5670),Yes
581,15,Right,tensor(16.8540),No
581,38,Left,tensor(27.3801),No
581,36,Left,tensor(39.5151),No
581,2,Right,tensor(8.3770),Yes
582,38,Left,tensor(27.7975),No
582,15,Right,tensor(18.5091),Yes
582,36,Left,tensor(39.5761),No
582,2,Right,tensor(7.9165),Yes
583,38,Left,tensor(26.8530),No
583,15,Right,tensor(17.9038),Yes
583,36,Left,tensor(40.9650),No
583,2,Right,tensor(6.4422),Yes
584,38,Left,tensor(29.1626),No
584,36,Left,tensor(39.6480),No
584,15,Right,tensor(17.8239),Yes
584,2,Right,tensor(7.6777),Yes
585,38,Left,tensor(29.4235),No
585,36,Left,tensor(41.5652),No
585,15,Right,tensor(16.6049),Yes
585,2,Right,tensor(6.9889),Yes
586,36,Left,tensor(42.0578),No
586,38,Left,tensor(29.2790),Yes
586,15,Right,tensor(17.7682),Yes
586,2,Right,tensor(8.6248),Yes
586,39,Left,tensor(10.4632),Yes
587,36,Left,tensor(41.4590),No
587,38,Left,tensor(30.4924),Yes
587,15,Right,tensor(15.7998),Yes
587,2,Right,tensor(5.5607),Yes
587,39,Left,tensor(11.3999),Yes
588,36,Left,tensor(43.5770),No
588,15,Right,tensor(16.2775),Yes
588,38,Left,tensor(29.9952),No
588,2,Right,tensor(7.0268),Yes
589,36,Left,tensor(44.8543),No
589,38,Left,tensor(30.6110),Yes
589,15,Right,tensor(14.2536),Yes
589,2,Right,tensor(6.1636),Yes
590,36,Left,tensor(45.4837),No
590,38,Left,tensor(32.2881),Yes
590,15,Right,tensor(15.3329),Yes
590,2,Right,tensor(5.8186),Yes
591,15,Right,tensor(14.8463),No
591,36,Left,tensor(45.2871),No
591,38,Left,tensor(32.9506),No
591,2,Right,tensor(5.9735),Yes
592,38,Left,tensor(33.0643),No
592,36,Left,tensor(48.5169),No
592,15,Right,tensor(12.9332),Yes
592,2,Right,tensor(6.3769),Yes
593,38,Left,tensor(34.8439),No
593,15,Right,tensor(14.0019),Yes
593,36,Left,tensor(50.0452),No
593,2,Right,tensor(4.9221),Yes
594,36,Left,tensor(48.4348),No
594,15,Right,tensor(13.5666),Yes
594,38,Left,tensor(34.3493),No
594,2,Right,tensor(6.2978),Yes
595,36,Left,tensor(50.0684),No
595,15,Right,tensor(14.9683),Yes
595,38,Left,tensor(36.6512),No
595,2,Right,tensor(7.1571),Yes
596,10,Right,tensor(14.2682),No
596,36,Left,tensor(51.6489),No
596,38,Left,tensor(35.8446),No
596,2,Right,tensor(4.9589),Yes
597,10,Right,tensor(12.7162),No
597,38,Left,tensor(39.4704),No
597,36,Left,tensor(52.8431),No
597,2,Right,tensor(5.1948),Yes
598,10,Right,tensor(13.8237),No
598,36,Left,tensor(52.2159),No
598,38,Left,tensor(37.7819),No
598,2,Right,tensor(4.4034),Yes
599,36,Left,tensor(52.9928),No
599,38,Left,tensor(37.8845),Yes
599,10,Right,tensor(13.4324),Yes
599,2,Right,tensor(4.4225),Yes
599,39,Left,tensor(13.0906),Yes
