Frame Number,Car ID,Lane (Left/Right),Speed (Km/h),Violation
431,24,Left,tensor(65.7420),No
431,30,Left,tensor(36.2032),Yes
431,31,Left,tensor(16.3521),Yes
431,5,Right,tensor(6.0989),Yes
432,24,Left,tensor(68.6256),No
432,26,Right,tensor(33.0411),Yes
432,30,Left,tensor(36.5219),Yes
432,5,Right,tensor(7.9349),Yes
432,31,Left,tensor(14.8012),Yes
433,24,Left,tensor(69.2684),No
433,26,Right,tensor(31.4767),Yes
433,30,Left,tensor(36.8112),Yes
433,31,Left,tensor(18.3709),Yes
433,5,Right,tensor(7.0095),Yes
434,24,Left,tensor(67.3303),No
434,26,Right,tensor(30.5764),Yes
434,30,Left,tensor(37.6852),Yes
434,31,Left,tensor(17.8852),Yes
434,5,Right,tensor(7.6811),Yes
435,24,Left,tensor(67.2842),No
435,26,Right,tensor(33.1721),Yes
435,30,Left,tensor(37.0553),Yes
435,31,Left,tensor(17.6648),Yes
435,2,Right,tensor(5.9566),Yes
436,24,Left,tensor(73.5848),No
436,26,Right,tensor(30.9034),Yes
436,30,Left,tensor(38.9848),Yes
436,31,Left,tensor(18.0352),Yes
436,1,Right,tensor(7.1796),Yes
437,24,Left,tensor(76.9114),No
437,26,Right,tensor(31.6229),Yes
437,30,Left,tensor(39.2034),Yes
437,31,Left,tensor(13.8890),Yes
437,1,Right,tensor(5.9106),Yes
438,26,Right,tensor(32.8625),No
438,24,Left,tensor(67.9506),No
438,30,Left,tensor(40.8426),Yes
438,31,Left,tensor(16.1298),Yes
438,1,Right,tensor(5.3808),Yes
439,15,Right,tensor(33.0977),No
439,30,Left,tensor(39.6960),No
439,12,Left,tensor(80.1690),No
439,31,Left,tensor(15.5085),Yes
439,1,Right,tensor(7.2461),Yes
440,15,Right,tensor(31.3526),No
440,30,Left,tensor(42.3371),No
440,12,Left,tensor(73.6244),No
440,1,Right,tensor(5.2393),Yes
440,31,Left,tensor(16.1446),Yes
441,15,Right,tensor(31.3131),No
441,30,Left,tensor(43.7400),No
441,31,Left,tensor(15.4514),Yes
441,1,Right,tensor(6.2028),Yes
442,15,Right,tensor(29.4015),No
442,30,Left,tensor(43.8368),No
442,31,Left,tensor(18.6564),Yes
442,1,Right,tensor(6.3282),Yes
443,15,Right,tensor(27.6701),No
443,30,Left,tensor(44.4803),No
443,31,Left,tensor(19.7970),Yes
443,1,Right,tensor(4.8548),Yes
444,30,Left,tensor(47.5216),No
444,15,Right,tensor(29.8055),Yes
444,31,Left,tensor(21.2647),Yes
444,1,Right,tensor(6.6730),Yes
445,30,Left,tensor(47.5119),No
445,15,Right,tensor(27.7023),Yes
445,31,Left,tensor(18.6274),Yes
445,1,Right,tensor(6.0601),Yes
446,15,Right,tensor(26.0373),No
446,30,Left,tensor(48.3267),No
446,31,Left,tensor(21.2152),Yes
446,1,Right,tensor(4.1587),Yes
447,15,Right,tensor(24.9441),No
447,30,Left,tensor(49.0862),No
447,31,Left,tensor(17.4911),Yes
447,1,Right,tensor(4.4831),Yes
448,15,Right,tensor(24.7444),No
448,30,Left,tensor(50.5537),No
448,31,Left,tensor(20.7617),Yes
448,1,Right,tensor(6.3320),Yes
449,30,Left,tensor(51.9464),No
449,15,Right,tensor(25.4162),Yes
449,31,Left,tensor(20.3748),Yes
449,1,Right,tensor(5.0961),Yes
450,30,Left,tensor(53.6233),No
450,15,Right,tensor(26.2136),Yes
450,31,Left,tensor(19.7737),Yes
450,1,Right,tensor(4.3248),Yes
451,30,Left,tensor(53.3248),No
451,15,Right,tensor(24.4261),Yes
451,31,Left,tensor(21.5733),Yes
451,1,Right,tensor(1.7938),Yes
452,15,Right,tensor(26.1826),No
452,30,Left,tensor(54.3959),No
452,31,Left,tensor(21.7863),Yes
452,1,Right,tensor(6.5863),Yes
453,15,Right,tensor(22.9189),No
453,30,Left,tensor(54.8008),No
453,31,Left,tensor(21.3116),Yes
453,1,Right,tensor(4.7955),Yes
454,10,Right,tensor(23.2918),No
454,30,Left,tensor(58.0789),No
454,31,Left,tensor(22.0064),Yes
454,1,Right,tensor(0.2100),Yes
455,10,Right,tensor(20.8496),No
455,30,Left,tensor(59.3646),No
455,31,Left,tensor(23.3752),Yes
455,1,Right,tensor(7.1349),Yes
456,10,Right,tensor(23.2281),No
456,30,Left,tensor(60.4899),No
456,31,Left,tensor(23.9930),Yes
457,10,Right,tensor(20.9908),No
457,30,Left,tensor(61.8005),No
457,31,Left,tensor(24.5273),Yes
457,1,Right,tensor(3.7771),Yes
458,10,Right,tensor(21.0002),No
458,30,Left,tensor(64.4492),No
458,31,Left,tensor(23.7549),Yes
458,1,Right,tensor(3.0262),Yes
459,10,Right,tensor(21.6029),No
459,30,Left,tensor(63.1916),No
459,31,Left,tensor(25.7392),Yes
459,1,Right,tensor(3.7236),Yes
460,10,Right,tensor(20.6661),No
460,30,Left,tensor(67.8730),No
460,31,Left,tensor(27.2540),Yes
460,1,Right,tensor(5.3859),Yes
461,30,Left,tensor(66.5751),No
461,10,Right,tensor(21.6211),Yes
461,31,Left,tensor(25.0801),Yes
461,1,Right,tensor(6.4300),Yes
462,30,Left,tensor(68.6294),No
462,10,Right,tensor(19.6682),Yes
462,31,Left,tensor(27.3339),Yes
462,1,Right,tensor(2.3688),Yes
463,30,Left,tensor(67.2153),No
463,10,Right,tensor(20.8655),Yes
463,31,Left,tensor(27.1673),Yes
464,30,Left,tensor(72.2410),No
464,10,Right,tensor(19.1277),Yes
464,31,Left,tensor(26.8742),Yes
464,1,Right,tensor(2.7308),Yes
465,23,Left,tensor(71.7557),No
465,10,Right,tensor(18.3955),Yes
465,31,Left,tensor(30.0288),Yes
465,32,Left,tensor(15.2054),Yes
466,23,Left,tensor(73.3189),No
466,31,Left,tensor(29.4802),Yes
466,10,Right,tensor(18.7223),Yes
466,32,Left,tensor(14.4623),Yes
466,1,Right,tensor(2.0070),Yes
467,23,Left,tensor(79.2394),No
467,10,Right,tensor(18.8950),Yes
467,31,Left,tensor(30.7839),Yes
467,32,Left,tensor(15.1081),Yes
467,1,Right,tensor(2.0214),Yes
468,23,Left,tensor(78.7144),No
468,10,Right,tensor(16.9591),Yes
468,31,Left,tensor(30.6540),Yes
468,1,Right,tensor(1.1923),Yes
468,32,Left,tensor(16.0807),Yes
469,23,Left,tensor(81.7883),No
469,31,Left,tensor(30.6416),Yes
469,10,Right,tensor(17.3219),Yes
469,32,Left,tensor(25.3327),Yes
469,1,Right,tensor(1.9054),Yes
470,23,Left,tensor(81.4096),No
470,10,Right,tensor(17.8805),Yes
470,31,Left,tensor(30.9214),Yes
470,32,Left,tensor(17.2530),Yes
470,1,Right,tensor(1.6118),Yes
471,23,Left,tensor(82.5405),No
471,10,Right,tensor(17.8925),Yes
471,31,Left,tensor(31.7969),Yes
471,1,Right,tensor(1.5421),Yes
471,32,Left,tensor(17.7880),Yes
472,23,Left,tensor(81.9279),No
472,10,Right,tensor(18.0039),Yes
472,31,Left,tensor(34.8786),Yes
472,32,Left,tensor(5.5591),Yes
472,1,Right,tensor(1.2909),Yes
473,20,Left,tensor(91.2725),No
473,10,Right,tensor(17.9269),Yes
473,31,Left,tensor(33.8795),Yes
473,32,Left,tensor(25.9713),Yes
473,1,Right,tensor(1.0135),Yes
474,20,Left,tensor(88.9398),No
474,31,Left,tensor(31.2904),Yes
474,10,Right,tensor(15.4953),Yes
474,32,Left,tensor(15.8256),Yes
474,1,Right,tensor(0.4818),Yes
475,16,Left,tensor(94.8145),No
475,10,Right,tensor(16.6374),Yes
475,31,Left,tensor(34.4076),Yes
475,32,Left,tensor(19.3157),Yes
476,16,Left,tensor(96.5242),No
476,10,Right,tensor(18.1053),Yes
476,31,Left,tensor(35.3084),Yes
476,32,Left,tensor(20.5735),Yes
477,16,Left,tensor(95.9649),No
477,31,Left,tensor(38.0441),Yes
477,10,Right,tensor(15.1288),Yes
477,25,Right,tensor(46.4632),Yes
477,32,Left,tensor(17.3252),Yes
478,11,Left,tensor(97.6248),No
478,31,Left,tensor(38.6046),Yes
478,10,Right,tensor(14.6744),Yes
478,25,Right,tensor(43.7304),Yes
478,32,Left,tensor(19.5498),Yes
479,4,Left,tensor(98.0592),No
479,34,Right,tensor(137.3090),No
479,31,Left,tensor(38.8584),Yes
479,10,Right,tensor(16.3220),Yes
479,32,Left,tensor(15.0987),Yes
480,4,Left,tensor(102.4098),No
480,34,Right,tensor(138.2064),No
480,31,Left,tensor(41.4290),Yes
480,10,Right,tensor(13.7885),Yes
480,32,Left,tensor(17.5583),Yes
481,31,Left,tensor(41.6027),No
481,3,Left,tensor(101.1945),No
481,34,Right,tensor(133.7374),No
481,10,Right,tensor(16.3455),Yes
481,32,Left,tensor(19.8584),Yes
482,31,Left,tensor(42.2583),No
482,10,Right,tensor(14.7643),Yes
482,3,Left,tensor(104.9315),No
482,34,Right,tensor(131.6176),No
482,32,Left,tensor(19.9130),Yes
483,31,Left,tensor(43.6808),No
483,34,Right,tensor(134.9103),No
483,10,Right,tensor(13.8024),Yes
483,35,Right,tensor(39.6673),Yes
483,32,Left,tensor(16.5051),Yes
483,0,Left,tensor(105.7991),No
484,31,Left,tensor(43.3376),No
484,10,Right,tensor(13.8606),Yes
484,34,Right,tensor(132.9935),No
484,32,Left,tensor(19.9722),Yes
484,35,Right,tensor(39.6791),Yes
485,31,Left,tensor(48.9805),No
485,10,Right,tensor(15.6965),Yes
485,34,Right,tensor(128.3059),No
485,35,Right,tensor(39.5295),Yes
485,32,Left,tensor(20.3609),Yes
486,31,Left,tensor(46.9769),No
486,34,Right,tensor(117.1480),No
486,10,Right,tensor(12.9533),Yes
486,35,Right,tensor(39.7486),Yes
486,32,Left,tensor(21.8992),Yes
487,34,Right,tensor(123.7131),No
487,31,Left,tensor(48.5555),Yes
487,10,Right,tensor(12.8234),Yes
487,35,Right,tensor(39.0848),Yes
487,32,Left,tensor(19.4291),Yes
488,31,Left,tensor(46.8992),No
488,34,Right,tensor(121.3105),No
488,10,Right,tensor(14.2748),Yes
488,28,Right,tensor(35.9287),Yes
488,32,Left,tensor(21.3481),Yes
489,34,Right,tensor(121.5733),No
489,31,Left,tensor(51.8007),Yes
489,10,Right,tensor(13.6429),Yes
489,32,Left,tensor(21.0525),Yes
490,31,Left,tensor(49.3698),No
490,10,Right,tensor(13.1386),Yes
490,34,Right,tensor(122.0001),No
490,32,Left,tensor(21.0887),Yes
490,28,Right,tensor(30.8448),Yes
491,31,Left,tensor(56.8531),No
491,34,Right,tensor(109.2223),No
491,10,Right,tensor(12.2272),Yes
491,28,Right,tensor(31.5360),Yes
491,32,Left,tensor(19.8389),Yes
492,31,Left,tensor(56.4114),No
492,34,Right,tensor(113.1433),No
492,10,Right,tensor(11.7481),Yes
492,28,Right,tensor(33.2755),Yes
492,32,Left,tensor(22.4147),Yes
493,34,Right,tensor(110.6183),No
